Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total,Vaccinated,Fully_vaccinated,Boosted
ARG,202112,19,0,0,0,234,253,3105081.0,694419.0,90.0
ARG,202113,16,0,0,0,215,231,3825318.0,713112.0,98.0
ARG,202114,18,0,0,0,321,339,4994934.0,759929.0,109.0
ARG,202115,24,0,0,0,319,343,5819133.0,844332.0,113.0
ARG,202116,31,1,1,0,347,380,6618732.0,916986.0,123.0
ARG,202117,17,0,0,0,204,221,7339773.0,1021893.0,138.0
ARG,202118,17,0,0,0,232,249,8045424.0,1490948.0,152.0
ARG,202119,21,0,0,0,290,311,8389693.0,2129138.0,168.0
ARG,202120,20,0,0,0,323,343,9078702.0,2521229.0,190.0
ARG,202121,18,0,0,0,283,301,9674096.0,2919254.0,212.0
ARG,202122,20,0,1,0,343,364,11529067.0,3201552.0,290.0
ARG,202123,17,0,0,0,369,386,13465999.0,3464888.0,329.0
ARG,202124,19,0,0,0,282,301,14861762.0,3881514.0,380.0
ARG,202125,18,0,2,0,275,295,16401855.0,4159410.0,394.0
ARG,202126,8,0,9,0,269,286,18443193.0,4602675.0,437.0
ARG,202127,6,0,8,0,310,324,20343625.0,5230664.0,492.0
ARG,202128,6,0,24,0,304,334,22518793.0,5579788.0,534.0
ARG,202129,10,0,21,0,209,240,24373673.0,6215868.0,604.0
ARG,202130,6,0,34,0,304,344,25774804.0,7372219.0,646.0
ARG,202131,7,0,48,0,393,448,26770375.0,8867085.0,693.0
ARG,202132,4,0,43,0,293,340,27296801.0,10001852.0,853.0
ARG,202133,5,0,41,0,300,346,27893091.0,11201324.0,1048.0
ARG,202134,2,0,43,0,280,325,28399215.0,13079980.0,1202.0
ARG,202135,1,0,47,0,299,347,28876930.0,14966756.0,1392.0
ARG,202136,1,0,57,0,247,305,29184404.0,16861520.0,1576.0
ARG,202137,3,0,76,0,125,204,29442881.0,18362398.0,1859.0
ARG,202138,2,0,68,0,119,189,29890774.0,19668540.0,2218.0
ARG,202139,0,0,69,0,97,166,30228174.0,21038612.0,2572.0
ARG,202140,0,0,64,0,126,190,30622766.0,21973505.0,2934.0
ARG,202141,3,0,134,0,219,356,31805619.0,22751640.0,3382.0
ARG,202142,9,0,240,0,139,388,33586778.0,23371426.0,3797.0
ARG,202143,2,0,334,0,148,484,34968543.0,23953251.0,56548.0
ARG,202144,3,0,304,3,95,405,35911897.0,24685348.0,316505.0
ARG,202145,1,0,332,5,81,419,36554669.0,25394849.0,1015137.0
ARG,202146,0,0,302,6,62,370,36890990.0,26573218.0,1501441.0
ARG,202147,0,0,387,7,33,427,37237102.0,27456365.0,1964281.0
ARG,202148,0,0,392,10,31,433,37654714.0,28356907.0,2723491.0
ARG,202149,1,0,297,30,37,365,37973139.0,29101350.0,3324485.0
ARG,202150,0,0,330,156,65,551,38289008.0,29789958.0,4335971.0
ARG,202151,0,0,285,350,36,671,38514189.0,30256946.0,5022316.0
ARG,202152,0,0,142,413,13,568,38821577.0,30776960.0,6184563.0
ARG,202201,0,0,38,369,11,418,39310582.0,31429831.0,8164939.0
ARG,202202,0,0,9,283,0,292,39690056.0,31904739.0,10082749.0
ARG,202203,0,0,6,313,4,323,39958675.0,32267528.0,11728428.0
ARG,202204,0,0,0,356,1,357,40195400.0,32619883.0,13162621.0
ARG,202205,0,0,1,234,0,235,40391924.0,32919756.0,14487820.0
ARG,202206,0,0,0,166,0,166,40563963.0,33219136.0,15584909.0
ARG,202207,0,0,0,157,0,157,40706607.0,33486543.0,16426684.0
ARG,202208,0,0,0,104,0,104,40831997.0,33742594.0,17163937.0
ARG,202209,0,0,0,71,0,71,40884377.0,33859620.0,17561502.0
ARG,202210,0,0,0,54,0,54,40935394.0,33972085.0,18126630.0
ARG,202211,0,0,0,34,0,34,40980719.0,34078924.0,18659981.0
ARG,202212,0,0,0,21,0,21,41010203.0,34150175.0,19114888.0
ARG,202213,0,0,0,19,0,19,41038698.0,34219968.0,19543366.0
ARG,202214,0,0,0,28,0,28,41061887.0,34279410.0,19868738.0
ARG,202215,0,0,0,22,1,23,41075584.0,34315037.0,20101962.0
ARG,202216,0,0,0,31,0,31,41093934.0,34365552.0,20615601.0
ARG,202217,0,0,0,35,0,35,41110281.0,34413003.0,21219931.0
ARG,202218,0,0,0,65,0,65,41126483.0,34469717.0,21877857.0
ARG,202219,0,0,0,75,0,75,41142225.0,34512730.0,22801704.0
ARG,202220,0,0,0,101,0,101,41155723.0,34539941.0,23705836.0
ARG,202221,0,0,0,129,0,129,41170029.0,34564708.0,24737158.0
ARG,202222,0,0,0,90,0,90,41182950.0,34586577.0,25686456.0
ARG,202223,0,0,0,68,0,68,41194133.0,34603664.0,26427285.0
ARG,202224,0,0,0,65,1,66,41203006.0,34616924.0,27043811.0
ARG,202225,0,0,0,81,0,81,41210178.0,34627561.0,27523380.0
ARG,202226,0,0,0,99,0,99,41218209.0,34639808.0,28013201.0
ARG,202227,0,0,0,139,0,139,41226067.0,34649876.0,28482677.0
ARG,202228,0,0,0,176,0,176,41232912.0,34658109.0,28876046.0
ARG,202229,0,0,0,221,0,221,41239932.0,34666879.0,29222080.0
ARG,202230,0,0,0,155,0,155,41246993.0,34675847.0,29544049.0
ARG,202231,0,0,0,126,0,126,41256575.0,34682969.0,29780022.0
ARG,202232,0,0,0,133,0,133,41274935.0,34690439.0,30021866.0
ARG,202233,0,0,0,64,0,64,41287597.0,34695937.0,30202329.0
ARG,202234,0,0,0,16,0,16,41300897.0,34703012.0,30396213.0
ARG,202235,0,0,0,13,0,13,41311678.0,34708567.0,30518451.0
ARG,202236,0,0,0,15,0,15,41322647.0,34715290.0,30653612.0
ARG,202237,0,0,0,6,0,6,41331708.0,34723193.0,30768623.0
AUS,202004,0,0,0,0,10,10,,,
AUS,202005,0,0,0,0,6,6,,,
AUS,202006,0,0,0,0,5,5,,,
AUS,202008,0,0,0,0,8,8,,,
AUS,202009,0,0,0,0,11,11,,,
AUS,202010,0,0,0,0,46,46,,,
AUS,202011,0,0,0,0,198,198,,,
AUS,202012,0,0,0,0,788,788,,,
AUS,202013,0,0,0,0,1353,1353,,,
AUS,202014,0,0,1,0,680,681,,,
AUS,202015,0,0,0,0,417,417,,,
AUS,202016,0,0,0,0,215,215,,,
AUS,202017,0,0,0,0,69,69,,,
AUS,202018,0,0,0,0,75,75,,,
AUS,202019,0,0,0,0,77,77,,,
AUS,202020,0,0,0,0,72,72,,,
AUS,202021,0,0,0,0,50,50,,,
AUS,202022,0,0,0,0,74,74,,,
AUS,202023,0,0,0,0,31,31,,,
AUS,202024,0,0,0,0,64,64,,,
AUS,202025,0,0,0,0,109,109,,,
AUS,202026,0,0,0,0,246,246,,,
AUS,202027,0,0,0,0,497,497,,,
AUS,202028,0,0,0,0,1052,1052,,,
AUS,202029,0,0,0,0,1721,1721,,,
AUS,202030,0,0,0,0,2187,2187,,,
AUS,202031,0,0,0,0,2168,2168,,,
AUS,202032,0,0,0,0,1909,1909,,,
AUS,202033,0,0,0,0,1270,1270,,,
AUS,202034,0,0,0,0,1260,1260,,,
AUS,202035,0,0,0,0,834,834,,,
AUS,202036,0,0,0,0,474,474,,,
AUS,202037,0,0,0,0,316,316,,,
AUS,202038,0,0,0,0,231,231,,,
AUS,202039,0,0,0,0,114,114,,,
AUS,202040,0,0,0,0,79,79,,,
AUS,202041,0,0,0,0,93,93,,,
AUS,202042,0,0,0,0,68,68,,,
AUS,202043,0,0,0,0,90,90,,,
AUS,202044,0,0,0,0,36,36,,,
AUS,202045,0,0,0,0,20,20,,,
AUS,202046,0,0,0,0,33,33,,,
AUS,202047,0,0,0,0,35,35,,,
AUS,202048,0,0,0,0,23,23,,,
AUS,202049,1,0,0,0,30,31,,,
AUS,202050,5,1,0,0,25,31,,,
AUS,202051,1,1,0,0,98,100,,,
AUS,202052,10,5,0,0,61,76,,,
AUS,202053,8,3,0,0,129,140,,,
AUS,202101,18,4,0,0,46,68,,,
AUS,202102,18,4,0,0,42,64,,,
AUS,202103,23,1,0,0,23,47,,,
AUS,202104,11,4,0,0,10,25,,,
AUS,202105,9,0,0,0,20,29,,,
AUS,202106,44,1,1,0,7,53,,,
AUS,202107,17,1,0,0,11,29,,,
AUS,202108,12,1,0,0,13,26,31882.0,12.0,
AUS,202109,16,4,0,0,20,40,81321.0,24.0,
AUS,202110,38,3,0,0,26,67,162517.0,34.0,
AUS,202111,22,4,1,0,28,55,253858.0,2924.0,
AUS,202112,31,3,0,0,26,60,488220.0,35969.0,
AUS,202113,38,6,1,0,20,65,761864.0,81318.0,
AUS,202114,20,4,2,0,16,42,1018671.0,147897.0,
AUS,202115,52,14,26,0,15,107,1310866.0,186046.0,
AUS,202116,37,9,43,0,30,119,1701357.0,232720.0,
AUS,202117,28,2,47,0,20,97,1994063.0,260011.0,
AUS,202118,26,1,40,0,7,74,2360192.0,294146.0,
AUS,202119,22,2,8,0,15,47,2758361.0,330823.0,
AUS,202120,4,2,7,0,6,19,3156107.0,,
AUS,202121,7,2,12,0,60,81,3714197.0,498702.0,
AUS,202122,13,1,25,0,35,74,4442925.0,573427.0,
AUS,202123,8,5,29,0,26,68,,710650.0,
AUS,202124,9,5,42,0,13,69,5499359.0,1056670.0,
AUS,202125,13,0,156,0,6,175,5876688.0,1449632.0,
AUS,202126,16,5,251,0,1,273,6319911.0,1855746.0,
AUS,202127,11,0,382,0,4,397,6766522.0,2303847.0,
AUS,202128,4,0,784,0,7,795,7243962.0,2801868.0,
AUS,202129,2,0,898,0,2,902,7803021.0,3327213.0,
AUS,202130,2,0,1298,0,2,1302,8407015.0,3927056.0,
AUS,202131,1,0,1405,0,0,1406,9061739.0,4611321.0,
AUS,202132,2,0,1448,0,0,1450,9847969.0,5372888.0,
AUS,202133,1,0,1689,0,2,1692,10793183.0,6190566.0,
AUS,202134,1,0,1621,0,2,1624,11850205.0,7044253.0,
AUS,202135,0,0,1884,0,2,1886,12938761.0,7879487.0,
AUS,202136,0,0,3034,0,1,3035,13907333.0,8720390.0,
AUS,202137,0,0,1530,0,0,1530,14939866.0,9633085.0,
AUS,202138,0,0,901,0,0,901,15974334.0,10634837.0,
AUS,202139,0,0,1317,0,1,1318,16882622.0,11689936.0,
AUS,202140,0,0,1271,0,1,1272,17593798.0,12883681.0,433.0
AUS,202141,0,0,1394,0,1,1395,18170223.0,14245406.0,2444.0
AUS,202142,0,0,1127,0,0,1127,18652593.0,15484232.0,6577.0
AUS,202143,0,0,866,0,0,866,19029312.0,16469355.0,17195.0
AUS,202144,0,0,933,0,0,933,19286079.0,17237996.0,173000.0
AUS,202145,0,0,1226,0,1,1227,19541933.0,17835028.0,257462.0
AUS,202146,0,0,957,0,0,957,19779653.0,18309411.0,331734.0
AUS,202147,0,0,1178,5,0,1183,19965449.0,18685541.0,411864.0
AUS,202148,0,0,1388,37,1,1426,20099492.0,18990458.0,531846.0
AUS,202149,0,0,1765,187,0,1952,20205275.0,19262415.0,687067.0
AUS,202150,0,0,1294,1161,2,2457,20320601.0,19538547.0,1328784.0
AUS,202151,0,0,1179,2569,9,3757,,,
AUS,202152,0,0,376,3169,4,3549,,,
AUS,202201,0,0,160,3633,5,3798,20524868.0,19896355.0,3565888.0
AUS,202202,0,0,106,2925,4,3035,20905692.0,20015852.0,4998093.0
AUS,202203,0,0,34,2145,1,2180,21324245.0,20106005.0,6459388.0
AUS,202204,0,0,14,1860,1,1875,21629171.0,20188421.0,7699044.0
AUS,202205,0,0,10,1927,1,1938,21803823.0,20282518.0,8941520.0
AUS,202206,0,0,0,2873,5,2878,21906946.0,20360127.0,9991919.0
AUS,202207,0,0,2,1808,3,1813,21976357.0,20420498.0,10786717.0
AUS,202208,0,0,0,1755,1,1756,22044111.0,20473343.0,11415349.0
AUS,202209,0,0,0,2070,1,2071,22091094.0,20520964.0,11857647.0
AUS,202210,0,0,1,2290,1,2292,22128293.0,20696352.0,12195821.0
AUS,202211,0,0,0,3052,0,3052,22162034.0,20931268.0,12484446.0
AUS,202212,0,0,0,3404,5,3409,22191506.0,21136762.0,12749337.0
AUS,202213,0,0,0,3555,10,3565,22217203.0,21280501.0,12964119.0
AUS,202214,0,0,0,2952,3,2955,,21372943.0,13128699.0
AUS,202215,0,0,0,2538,8,2546,,21438984.0,13398681.0
AUS,202216,0,0,0,2794,14,2808,,21490232.0,13559379.0
AUS,202217,0,0,0,2684,3,2687,,21527099.0,13769753.0
AUS,202218,0,0,0,2623,1,2624,,21553633.0,13998418.0
AUS,202219,0,0,0,2923,4,2927,,21571384.0,14272400.0
AUS,202220,0,0,0,2792,2,2794,,21592267.0,14587855.0
AUS,202221,0,0,0,2691,0,2691,,21606395.0,15150743.0
AUS,202222,0,0,0,2923,2,2925,,21622010.0,15440396.0
AUS,202223,0,0,0,2653,1,2654,,,
AUS,202224,0,0,1,2091,1,2093,,,15908339.0
AUS,202225,0,0,0,2265,0,2265,,,16117499.0
AUS,202226,0,0,0,2737,3,2740,,,16288173.0
AUS,202227,0,0,0,2866,5,2871,,,16505643.0
AUS,202228,0,0,0,2451,2,2453,,,17105410.0
AUS,202229,0,0,0,2388,2,2390,,,17676707.0
AUS,202230,0,0,0,2104,0,2104,,,18119521.0
AUS,202231,0,0,0,2101,0,2101,,,
AUS,202232,0,0,0,2026,0,2026,,,
AUS,202233,0,0,0,2205,0,2205,,,
AUS,202234,0,0,0,1911,1,1912,,,
AUS,202235,0,0,0,1498,1,1499,,,
AUS,202236,0,0,0,1303,2,1305,,,
AUS,202237,0,0,0,1489,0,1489,,,
AUS,202238,0,0,0,874,0,874,,,
AUS,202239,0,0,0,422,0,422,,,
AUT,202009,0,0,0,0,8,8,,,
AUT,202010,0,0,0,0,50,50,,,
AUT,202011,0,0,0,0,112,112,,,
AUT,202012,0,0,0,0,136,136,,,
AUT,202013,0,0,0,0,158,158,,,
AUT,202014,0,0,0,0,121,121,,,
AUT,202015,0,0,0,0,60,60,,,
AUT,202016,0,0,0,0,42,42,,,
AUT,202017,0,0,0,0,30,30,,,
AUT,202018,0,0,0,0,23,23,,,
AUT,202019,0,0,0,0,18,18,,,
AUT,202020,0,0,0,0,27,27,,,
AUT,202021,0,0,0,0,15,15,,,
AUT,202022,0,0,0,0,3,3,,,
AUT,202023,0,0,0,0,7,7,,,
AUT,202024,0,0,0,0,3,3,,,
AUT,202025,0,0,0,0,4,4,,,
AUT,202026,0,0,0,0,1,1,,,
AUT,202027,0,0,0,0,2,2,,,
AUT,202028,0,0,0,0,3,3,,,
AUT,202029,0,0,0,0,8,8,,,
AUT,202030,0,0,0,0,11,11,,,
AUT,202031,0,0,0,0,3,3,,,
AUT,202032,0,0,0,0,10,10,,,
AUT,202033,0,0,0,0,12,12,,,
AUT,202034,0,0,0,0,15,15,,,
AUT,202035,0,0,0,0,25,25,,,
AUT,202036,0,0,0,0,22,22,,,
AUT,202037,0,0,0,0,19,19,,,
AUT,202038,0,0,0,0,17,17,,,
AUT,202039,0,0,0,0,21,21,,,
AUT,202040,0,0,0,0,5,5,,,
AUT,202041,0,0,0,0,19,19,,,
AUT,202042,0,0,0,0,45,45,,,
AUT,202043,0,0,0,0,37,37,,,
AUT,202044,0,0,0,0,57,57,,,
AUT,202045,0,0,0,0,127,127,,,
AUT,202046,0,0,0,0,151,151,,,
AUT,202047,0,0,0,0,36,36,,,
AUT,202048,3,0,0,0,90,93,,,
AUT,202049,0,0,0,0,67,67,,,
AUT,202050,0,0,0,0,13,13,,,
AUT,202051,2,0,0,0,53,55,,,
AUT,202052,2,1,0,0,120,123,,,
AUT,202053,9,0,0,0,345,354,,,
AUT,202101,23,0,0,0,247,270,,,
AUT,202102,124,60,0,0,280,464,,,
AUT,202103,15,149,0,0,640,804,,,
AUT,202104,46,85,0,0,1391,1522,,,
AUT,202105,26,68,0,0,854,948,,,
AUT,202106,149,49,0,0,569,767,,,
AUT,202107,121,35,0,0,426,582,,,
AUT,202108,119,42,0,0,172,333,,,
AUT,202109,177,53,0,0,469,699,,,
AUT,202110,266,79,0,0,1101,1446,,,
AUT,202111,221,35,0,0,1336,1592,,,
AUT,202112,203,31,0,0,1765,1999,,,
AUT,202113,88,20,0,0,1490,1598,,,
AUT,202114,111,12,2,0,782,907,,,
AUT,202115,103,21,2,0,2361,2487,,,
AUT,202116,94,27,2,0,3337,3460,,,
AUT,202117,119,22,4,0,1801,1946,,,
AUT,202118,88,2,4,0,1420,1514,,,
AUT,202119,334,0,6,0,1797,2137,,,
AUT,202120,204,6,10,0,1125,1345,,,
AUT,202121,91,5,8,0,553,657,,,
AUT,202122,63,10,34,0,336,443,,,
AUT,202123,139,4,222,0,674,1039,,,
AUT,202124,218,1,349,0,242,810,,,
AUT,202125,51,0,289,0,117,457,,,
AUT,202126,42,0,361,0,211,614,,,
AUT,202127,19,0,484,0,61,564,,,
AUT,202128,5,0,967,0,52,1024,,,
AUT,202129,4,0,1268,0,30,1302,,,
AUT,202130,2,0,1361,0,34,1397,,,
AUT,202131,1,2,1425,0,61,1489,,,
AUT,202132,0,0,1848,0,52,1900,,,
AUT,202133,0,0,1280,0,40,1320,,,
AUT,202134,0,0,2160,0,58,2218,,,
AUT,202135,0,0,2421,0,54,2475,,,
AUT,202136,0,0,1549,0,33,1582,,,
AUT,202137,0,0,1125,0,15,1140,,,
AUT,202138,0,0,766,0,12,778,,,
AUT,202139,0,0,1635,0,85,1720,,,
AUT,202140,0,0,961,0,24,985,,,
AUT,202141,0,0,1473,0,58,1531,,,
AUT,202142,0,0,2205,0,85,2290,,,
AUT,202143,0,0,1039,0,46,1085,,,
AUT,202144,0,0,538,2,9,549,,,
AUT,202145,0,0,924,0,36,960,,,
AUT,202146,0,0,815,0,24,839,,,
AUT,202147,0,0,614,4,29,647,,,
AUT,202148,0,0,1261,24,52,1337,,,
AUT,202149,0,0,860,30,37,927,,,
AUT,202150,0,0,446,46,8,500,,,
AUT,202151,0,0,304,370,11,685,,,
AUT,202152,0,0,278,898,8,1184,,,
AUT,202201,0,0,642,2345,69,3056,,,
AUT,202202,0,0,351,2144,21,2516,,,
AUT,202203,0,0,40,1675,4,1719,,,
AUT,202204,0,0,16,1363,6,1385,,,
AUT,202205,0,0,5,2021,0,2026,,,
AUT,202206,0,0,2,2365,0,2367,,,
AUT,202207,0,0,1,1965,1,1967,,,
AUT,202208,0,0,1,2466,0,2467,,,
AUT,202209,0,0,4,2594,0,2598,,,
AUT,202210,0,0,0,1606,2,1608,,,
AUT,202211,0,0,0,2594,2,2596,,,
AUT,202212,0,0,0,2575,0,2575,,,
AUT,202213,0,0,0,1493,12,1505,,,
AUT,202214,0,0,0,2659,3,2662,,,
AUT,202215,0,0,0,2723,64,2787,,,
AUT,202216,0,0,1,2619,3,2623,,,
AUT,202217,0,0,0,2609,5,2614,,,
AUT,202218,0,0,0,2768,4,2772,,,
AUT,202219,0,0,4,2416,4,2424,,,
AUT,202220,0,0,1,3076,1,3078,,,
AUT,202221,0,0,2,2412,4,2418,,,
AUT,202222,0,0,0,3055,1,3056,,,
AUT,202223,0,0,0,3317,3,3320,,,
AUT,202224,0,0,0,3192,2,3194,,,
AUT,202225,0,0,0,3602,2,3604,,,
AUT,202226,0,0,0,3046,0,3046,,,
AUT,202227,0,0,0,2581,0,2581,,,
AUT,202228,0,0,0,3243,0,3243,,,
AUT,202229,0,0,1,2803,1,2805,,,
AUT,202230,0,0,0,2934,1,2935,,,
AUT,202231,0,0,0,3313,0,3313,,,
AUT,202232,0,0,0,2696,0,2696,,,
AUT,202233,0,0,2,3045,1,3048,,,
AUT,202234,0,0,0,2161,0,2161,,,
AUT,202235,0,0,0,3187,2,3189,,,
AUT,202236,0,0,0,2598,1,2599,,,
AUT,202237,0,0,0,2534,0,2534,,,
AUT,202238,0,0,1,3168,21,3190,,,
AUT,202239,0,0,0,2150,30,2180,,,
BEL,202006,0,0,0,0,2,2,,,
BEL,202007,0,0,0,0,1,1,,,
BEL,202009,0,0,0,0,1,1,,,
BEL,202010,0,0,0,0,110,110,,,
BEL,202011,0,0,0,0,50,50,,,
BEL,202012,0,0,0,0,107,107,,,
BEL,202013,0,0,0,0,287,287,,,
BEL,202014,0,0,0,0,222,222,,,
BEL,202015,0,0,0,0,216,216,,,
BEL,202016,0,0,0,0,111,111,,,
BEL,202017,0,0,0,0,47,47,,,
BEL,202018,0,0,0,0,73,73,,,
BEL,202019,0,0,0,0,60,60,,,
BEL,202020,0,0,0,0,53,53,,,
BEL,202021,0,0,0,0,25,25,,,
BEL,202022,0,0,0,0,7,7,,,
BEL,202023,0,0,0,0,7,7,,,
BEL,202024,0,0,0,0,8,8,,,
BEL,202025,0,0,0,0,30,30,,,
BEL,202026,0,0,0,0,11,11,,,
BEL,202027,0,0,0,0,28,28,,,
BEL,202028,0,0,0,0,19,19,,,
BEL,202029,0,0,0,0,19,19,,,
BEL,202030,0,0,0,0,63,63,,,
BEL,202031,0,0,0,0,80,80,,,
BEL,202032,0,0,0,0,103,103,,,
BEL,202033,0,0,0,0,32,32,,,
BEL,202034,0,0,0,0,30,30,,,
BEL,202035,0,0,0,0,23,23,,,
BEL,202036,0,0,0,0,33,33,,,
BEL,202037,0,0,0,0,54,54,,,
BEL,202038,0,0,0,0,138,138,,,
BEL,202039,0,0,0,0,111,111,,,
BEL,202040,0,0,0,0,16,16,,,
BEL,202041,0,0,0,0,114,114,,,
BEL,202042,0,0,0,0,67,67,,,
BEL,202043,0,0,0,0,285,285,,,
BEL,202044,0,0,0,0,172,172,,,
BEL,202045,0,0,0,0,49,49,,,
BEL,202046,0,0,0,0,151,151,,,
BEL,202047,0,0,0,0,104,104,,,
BEL,202048,0,0,0,0,82,82,,,
BEL,202049,3,0,0,0,60,63,,,
BEL,202050,0,0,0,0,106,106,,,
BEL,202051,0,0,0,0,237,237,,,
BEL,202052,15,2,0,0,50,67,,,
BEL,202053,27,7,0,0,126,160,1005.0,34.0,
BEL,202101,69,3,0,0,214,286,28191.0,204.0,
BEL,202102,190,14,3,0,291,498,124916.0,471.0,
BEL,202103,367,27,0,0,466,860,249097.0,1587.0,
BEL,202104,327,35,1,0,511,874,317529.0,27175.0,
BEL,202105,393,59,0,0,517,969,362470.0,120094.0,
BEL,202106,325,68,0,0,332,725,396126.0,235720.0,
BEL,202107,523,70,0,0,458,1051,443787.0,305746.0,
BEL,202108,699,104,0,0,378,1181,534954.0,343335.0,
BEL,202109,633,138,0,0,280,1051,676024.0,376426.0,
BEL,202110,1048,97,0,0,266,1411,826190.0,422201.0,
BEL,202111,1164,120,0,0,243,1527,1064163.0,479193.0,
